,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,RBR,Genres,Name,Primary Profession
440,58,2016,The Meddler,3200000,4267219,5526942,6594161,3.0606753125,Romance,Lorene Scafaria,"writer,actress,soundtrack"
441,93,2017,Columbus,700000,1017107,1110511,1427618,3.0394542857142857,Comedy,R. Samala,"assistant_director,writer,director"
442,93,2017,Columbus,700000,1017107,1110511,1427618,3.0394542857142857,Comedy,Kogonada,"director,writer,producer"
443,93,2017,Columbus,700000,1017107,1110511,1427618,3.0394542857142857,Comedy,Hatef Alimardani,"director,writer,producer"
444,95,2015,Sardaar Ji,2700000,0,8200000,5500000,3.037037037037037,Comedy,Rohit Jugraj,"director,writer,assistant_director"
444,95,2015,Sardaar Ji,2700000,0,8200000,5500000,3.037037037037037,Fantasy,Rohit Jugraj,"director,writer,assistant_director"
444,95,2015,Sardaar Ji,2700000,0,8200000,5500000,3.037037037037037,Horror,Rohit Jugraj,"director,writer,assistant_director"
447,43,2013,Grace Unplugged,1700000,2507159,2507159,3314318,2.9495988235294117,Drama,Brad J. Silverman,"director,writer,actor"
447,43,2013,Grace Unplugged,1700000,2507159,2507159,3314318,2.9495988235294117,Music,Brad J. Silverman,"director,writer,actor"
448,9,2016,Don't Think Twice,3000000,4417983,4417983,5835966,2.945322,Comedy,Mike Birbiglia,"actor,writer,producer"
448,9,2016,Don't Think Twice,3000000,4417983,4417983,5835966,2.945322,Drama,Mike Birbiglia,"actor,writer,producer"
451,15,2010,Please Give,3000000,4033574,4570178,5603752,2.867917333333333,Comedy,Nicole Holofcener,"director,writer,actress"
451,15,2010,Please Give,3000000,4033574,4570178,5603752,2.867917333333333,Drama,Nicole Holofcener,"director,writer,actress"
452,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Documentary,Yiu Fai Lo,"writer,director,actor"
452,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Drama,Yiu Fai Lo,"writer,director,actor"
452,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Family,Yiu Fai Lo,"writer,director,actor"
453,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Documentary,SABU,"actor,director,writer"
453,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Drama,SABU,"actor,director,writer"
453,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Family,SABU,"actor,director,writer"
454,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Documentary,Irina Valentik,director
454,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Drama,Irina Valentik,director
454,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Family,Irina Valentik,director
455,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Documentary,Thomas Balmès,"director,producer,cinematographer"
455,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Drama,Thomas Balmès,"director,producer,cinematographer"
455,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Family,Thomas Balmès,"director,producer,cinematographer"
456,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Documentary,Mike Ugada,"writer,director,actor"
456,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Drama,Mike Ugada,"writer,director,actor"
456,26,1998,Happiness,3000000,2746453,5746453,5492906,2.8309686666666667,Family,Mike Ugada,"writer,director,actor"
458,81,2016,I'm Not Ashamed,1500000,2082980,2082980,2665960,2.7773066666666666,Biography,Brian Baugh,"cinematographer,director,writer"
458,81,2016,I'm Not Ashamed,1500000,2082980,2082980,2665960,2.7773066666666666,Drama,Brian Baugh,"cinematographer,director,writer"
460,13,1997,Kama Sutra,3000000,4109095,4109095,5218190,2.7393966666666665,Romance,Dawn,"director,producer"
465,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Drama,Brillante Mendoza,"director,producer,production_designer"
465,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Thriller,Brillante Mendoza,"director,producer,production_designer"
466,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Drama,David Kabale,director
466,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Thriller,David Kabale,director
467,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Drama,Jerry Jameson,"editorial_department,director,producer"
467,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Thriller,Jerry Jameson,"editorial_department,director,producer"
468,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Drama,Jonatan Burnett,"director,cinematographer,camera_department"
468,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Thriller,Jonatan Burnett,"director,cinematographer,camera_department"
469,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Drama,Jordan Brown,"writer,producer,director"
469,23,2015,Captive,2000000,2583301,2791973,3375274,2.687637,Thriller,Jordan Brown,"writer,producer,director"
470,9,2011,Submarine,1900000,467602,4581937,3149539,2.657652105263158,Comedy,Richard Ayoade,"actor,writer,director"
470,9,2011,Submarine,1900000,467602,4581937,3149539,2.657652105263158,Drama,Richard Ayoade,"actor,writer,director"
470,9,2011,Submarine,1900000,467602,4581937,3149539,2.657652105263158,Romance,Richard Ayoade,"actor,writer,director"
471,93,2018,Indivisible,2700000,3511417,3588305,4399722,2.6295266666666666,Documentary,Edoardo De Angelis,"director,writer,assistant_director"
472,93,2018,Indivisible,2700000,3511417,3588305,4399722,2.6295266666666666,Documentary,David G. Evans,"director,writer,casting_department"
473,93,2018,Indivisible,2700000,3511417,3588305,4399722,2.6295266666666666,Documentary,Hilary Linder,"director,producer"
482,25,2018,Hearts Beat Loud,2000000,2386254,2420962,2807216,2.403608,Comedy,Brett Haley,"director,writer,editor"
482,25,2018,Hearts Beat Loud,2000000,2386254,2420962,2807216,2.403608,Drama,Brett Haley,"director,writer,editor"
482,25,2018,Hearts Beat Loud,2000000,2386254,2420962,2807216,2.403608,Music,Brett Haley,"director,writer,editor"
483,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Action,Jokes Yanes,"director,editor,producer"
483,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Drama,Jokes Yanes,"director,editor,producer"
484,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Action,Jared Cohn,"actor,director,writer"
484,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Drama,Jared Cohn,"actor,director,writer"
485,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Action,Seth Hendricks,"actor,producer,director"
485,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Drama,Seth Hendricks,"actor,producer,director"
486,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Action,David Leidy,"writer,producer,director"
486,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Drama,David Leidy,"writer,producer,director"
487,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Action,Greg Tull,"actor,director,writer"
487,33,1996,Bound,4500000,3802260,7011317,6313577,2.403017111111111,Drama,Greg Tull,"actor,director,writer"
489,23,2012,Middle of Nowhere,200000,236806,236806,273612,2.36806,Drama,Ava DuVernay,"miscellaneous,writer,producer"
493,32,2005,Oldboy,3000000,707391,6239723,3947114,2.3157046666666665,Action,Spike Lee,"director,producer,writer"
493,32,2005,Oldboy,3000000,707391,6239723,3947114,2.3157046666666665,Drama,Spike Lee,"director,producer,writer"
493,32,2005,Oldboy,3000000,707391,6239723,3947114,2.3157046666666665,Mystery,Spike Lee,"director,producer,writer"
496,26,2017,The Resurrection of Gavin Stone,2000000,2303792,2303792,2607584,2.303792,Comedy,Dallas Jenkins,"director,writer,producer"
496,26,2017,The Resurrection of Gavin Stone,2000000,2303792,2303792,2607584,2.303792,Drama,Dallas Jenkins,"director,writer,producer"
496,26,2017,The Resurrection of Gavin Stone,2000000,2303792,2303792,2607584,2.303792,Family,Dallas Jenkins,"director,writer,producer"
497,56,2017,Patti Cake$,1000000,800148,1471090,1271238,2.271238,Drama,Geremy Jasper,"director,writer,composer"
497,56,2017,Patti Cake$,1000000,800148,1471090,1271238,2.271238,Music,Geremy Jasper,"director,writer,composer"
501,57,2000,Panic,1000000,779137,1425707,1204844,2.204844,Drama,Sean Spencer,"director,writer,soundtrack"
501,57,2000,Panic,1000000,779137,1425707,1204844,2.204844,Mystery,Sean Spencer,"director,writer,soundtrack"
501,57,2000,Panic,1000000,779137,1425707,1204844,2.204844,Thriller,Sean Spencer,"director,writer,soundtrack"
503,71,2010,Animal Kingdom,4200000,1044039,8078683,4922722,2.172076666666667,Crime,David Michôd,"writer,producer,director"
503,71,2010,Animal Kingdom,4200000,1044039,8078683,4922722,2.172076666666667,Drama,David Michôd,"writer,producer,director"
504,71,2010,Animal Kingdom,4200000,1044039,8078683,4922722,2.172076666666667,Crime,Dean Kavanagh,"director,actor,cinematographer"
504,71,2010,Animal Kingdom,4200000,1044039,8078683,4922722,2.172076666666667,Drama,Dean Kavanagh,"director,actor,cinematographer"
505,14,2010,I Want Your Money,400000,433588,433588,467176,2.16794,Documentary,Ray Griggs,"producer,director,writer"
506,18,2012,Samsara,4000000,2672413,5966671,4639084,2.159771,Documentary,Ron Fricke,"cinematographer,camera_department,writer"
506,18,2012,Samsara,4000000,2672413,5966671,4639084,2.159771,Music,Ron Fricke,"cinematographer,camera_department,writer"
513,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Julian Pölsler,"director,writer,actor"
514,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Doug Liman,"producer,director,miscellaneous"
515,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Hsin-yu Wu,"director,cinematographer,production_manager"
516,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Chen-yu Wang,"director,camera_department"
517,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,David Kinsella,"director,cinematographer,producer"
518,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Ricardo Martinez,"editorial_department,visual_effects,editor"
519,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Paula Bravo,"director,writer"
520,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Mustafa Koray Polat,"director,producer"
521,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Dmitry Bogolyubov,director
522,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Chung-han Han,director
523,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Wan-ling Hsu,director
524,29,2017,The Wall,3000000,1803064,4495262,3298326,2.099442,Documentary,Varun Trikha,director
526,53,1998,Slam,1000000,1009819,1087521,1097340,2.09734,Comedy,Partho Sen-Gupta,"director,writer,art_department"
526,53,1998,Slam,1000000,1009819,1087521,1097340,2.09734,Drama,Partho Sen-Gupta,"director,writer,art_department"
526,53,1998,Slam,1000000,1009819,1087521,1097340,2.09734,Romance,Partho Sen-Gupta,"director,writer,art_department"
527,53,1998,Slam,1000000,1009819,1087521,1097340,2.09734,Comedy,Andrea Molaioli,"director,assistant_director,camera_department"
527,53,1998,Slam,1000000,1009819,1087521,1097340,2.09734,Drama,Andrea Molaioli,"director,assistant_director,camera_department"
527,53,1998,Slam,1000000,1009819,1087521,1097340,2.09734,Romance,Andrea Molaioli,"director,assistant_director,camera_department"
528,11,2018,First Reformed,3500000,3448256,3874772,3823028,2.0922937142857143,Drama,Paul Schrader,"writer,director,soundtrack"
528,11,2018,First Reformed,3500000,3448256,3874772,3823028,2.0922937142857143,Mystery,Paul Schrader,"writer,director,soundtrack"
528,11,2018,First Reformed,3500000,3448256,3874772,3823028,2.0922937142857143,Thriller,Paul Schrader,"writer,director,soundtrack"
530,38,2008,Choke,3400000,2926565,4124277,3650842,2.0737770588235294,Action,Michael Petrone,"actor,director,producer"
530,38,2008,Choke,3400000,2926565,4124277,3650842,2.0737770588235294,Drama,Michael Petrone,"actor,director,producer"
530,38,2008,Choke,3400000,2926565,4124277,3650842,2.0737770588235294,Romance,Michael Petrone,"actor,director,producer"
532,25,2010,Letters to God,3000000,2848587,3237452,3086039,2.0286796666666667,Drama,David Nixon,"producer,editor,director"
532,25,2010,Letters to God,3000000,2848587,3237452,3086039,2.0286796666666667,Family,David Nixon,"producer,editor,director"
533,25,2010,Letters to God,3000000,2848587,3237452,3086039,2.0286796666666667,Drama,Patrick Doughtie,"actor,writer,director"
533,25,2010,Letters to God,3000000,2848587,3237452,3086039,2.0286796666666667,Family,Patrick Doughtie,"actor,writer,director"
535,30,1993,Nemesis,2000000,2001124,2001124,2002248,2.001124,Drama,Nicole Mosleh,"writer,director,producer"
536,30,1993,Nemesis,2000000,2001124,2001124,2002248,2.001124,Drama,Carl Joglar,"writer,miscellaneous,art_department"
537,30,1993,Nemesis,2000000,2001124,2001124,2002248,2.001124,Drama,Gunparwitt Phuwadolwisid,director
539,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Bruce Ramsay,"actor,director,writer"
540,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Robin Lough,"director,producer,writer"
541,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Margaret Williams,"director,producer,writer"
542,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Antoni Cimolino,"director,actor"
543,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Giorgi Megrelishvili,"actor,director,writer"
544,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Dick Douglass,"actor,writer,director"
545,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Cristiano Burlan,"director,writer,editor"
546,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Anna Lensch,"art_department,cinematographer,director"
547,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Alek Sabin,"cinematographer,editor,producer"
548,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Sarah Frankcom,director
549,34,2000,Hamlet,2000000,1577287,2419669,1996956,1.998478,Drama,Shelagh O'Brien,"director,assistant_director,miscellaneous"
554,51,2016,The Fits,170000,166425,169242,165667,1.9745117647058823,Drama,Anna Rose Holmer,"camera_department,director,cinematographer"
554,51,2016,The Fits,170000,166425,169242,165667,1.9745117647058823,Music,Anna Rose Holmer,"camera_department,director,cinematographer"
557,58,2014,Palo Alto,1000000,767732,1156309,924041,1.924041,Drama,Gia Coppola,"director,actress,writer"
558,96,1997,Sunday,450000,410919,450349,411268,1.9139288888888888,Drama,Svetlana Proskurina,"director,writer"
559,96,1997,Sunday,450000,410919,450349,411268,1.9139288888888888,Drama,Jeremy Rafuse,"writer,producer,director"
560,96,1997,Sunday,450000,410919,450349,411268,1.9139288888888888,Drama,Geoff Woods,"cinematographer,writer,director"
561,96,1997,Sunday,450000,410919,450349,411268,1.9139288888888888,Drama,Michelle Joy,"director,writer,producer"
562,96,1997,Sunday,450000,410919,450349,411268,1.9139288888888888,Drama,Gordon James Asti,"actor,writer,director"
563,96,1997,Sunday,450000,410919,450349,411268,1.9139288888888888,Drama,Eryk Lenartowicz,"actor,writer,director"
564,96,1997,Sunday,450000,410919,450349,411268,1.9139288888888888,Drama,Mark Melvin-Harris,"director,editor"
567,35,2015,The Diary of a Teenage Girl,2000000,1477002,2279959,1756961,1.8784805,Comedy,Marielle Heller,"actress,director,writer"
567,35,2015,The Diary of a Teenage Girl,2000000,1477002,2279959,1756961,1.8784805,Drama,Marielle Heller,"actress,director,writer"
567,35,2015,The Diary of a Teenage Girl,2000000,1477002,2279959,1756961,1.8784805,Romance,Marielle Heller,"actress,director,writer"
569,62,2011,The Future,1000000,568662,1239174,807836,1.807836,Drama,Miranda July,"writer,actress,director"
569,62,2011,The Future,1000000,568662,1239174,807836,1.807836,Fantasy,Miranda July,"writer,actress,director"
569,62,2011,The Future,1000000,568662,1239174,807836,1.807836,Romance,Miranda July,"writer,actress,director"
570,84,2013,The Lords of Salem,1500000,1165881,1541131,1207012,1.8046746666666666,Horror,Rob Zombie,"soundtrack,director,actor"
570,84,2013,The Lords of Salem,1500000,1165881,1541131,1207012,1.8046746666666666,Thriller,Rob Zombie,"soundtrack,director,actor"
572,53,2013,The Sweeney,4500000,26345,8000366,3526711,1.7837135555555557,Action,Nick Love,"writer,producer,director"
572,53,2013,The Sweeney,4500000,26345,8000366,3526711,1.7837135555555557,Crime,Nick Love,"writer,producer,director"
572,53,2013,The Sweeney,4500000,26345,8000366,3526711,1.7837135555555557,Drama,Nick Love,"writer,producer,director"
574,37,2014,Locke,2000000,1370646,2088390,1459036,1.729518,Drama,Steven Knight,"writer,producer,director"
576,66,2013,The Act of Killing,1000000,486919,1227316,714235,1.714235,Crime,Joshua Oppenheimer,"director,producer,cinematographer"
576,66,2013,The Act of Killing,1000000,486919,1227316,714235,1.714235,Documentary,Joshua Oppenheimer,"director,producer,cinematographer"
577,66,2013,The Act of Killing,1000000,486919,1227316,714235,1.714235,Crime,Christine Cynn,"producer,director,camera_department"
577,66,2013,The Act of Killing,1000000,486919,1227316,714235,1.714235,Documentary,Christine Cynn,"producer,director,camera_department"
578,66,2013,The Act of Killing,1000000,486919,1227316,714235,1.714235,Crime,Anonymous,"producer,miscellaneous,camera_department"
578,66,2013,The Act of Killing,1000000,486919,1227316,714235,1.714235,Documentary,Anonymous,"producer,miscellaneous,camera_department"
584,7,2014,Blue Ruin,420000,258384,437002,275386,1.6556809523809524,Crime,Jeremy Saulnier,"camera_department,cinematographer,director"
584,7,2014,Blue Ruin,420000,258384,437002,275386,1.6556809523809524,Drama,Jeremy Saulnier,"camera_department,cinematographer,director"
584,7,2014,Blue Ruin,420000,258384,437002,275386,1.6556809523809524,Thriller,Jeremy Saulnier,"camera_department,cinematographer,director"
585,39,2007,In the Shadow of the Moon,2000000,1134358,2175587,1309945,1.6549725,Thriller,Jim Mickle,"writer,camera_department,director"
586,26,2002,Hybrid,200000,162605,162605,125210,1.62605,Documentary,Daishi Matsunaga,"director,actor,writer"
586,26,2002,Hybrid,200000,162605,162605,125210,1.62605,Sport,Daishi Matsunaga,"director,actor,writer"
587,26,2002,Hybrid,200000,162605,162605,125210,1.62605,Documentary,Alexander Marais,"producer,writer,director"
587,26,2002,Hybrid,200000,162605,162605,125210,1.62605,Sport,Alexander Marais,"producer,writer,director"
590,59,2009,Adam,3200000,2283291,2834485,1917776,1.599305,Drama,Maria Solrun,"writer,director,assistant_director"
591,59,2009,Adam,3200000,2283291,2834485,1917776,1.599305,Drama,Shoki Lin,"director,writer"
592,59,2009,Adam,3200000,2283291,2834485,1917776,1.599305,Drama,Rhys Ernst,"producer,director,assistant_director"
593,59,2009,Adam,3200000,2283291,2834485,1917776,1.599305,Drama,Douglas C. Williams,"director,producer,actor"
594,59,2009,Adam,3200000,2283291,2834485,1917776,1.599305,Drama,David Lapuch,"director,writer,editor"
595,59,2009,Adam,3200000,2283291,2834485,1917776,1.599305,Drama,Maryam Touzani,"writer,director,actress"
596,59,2009,Adam,3200000,2283291,2834485,1917776,1.599305,Drama,Hamezi Akeyrat,director
601,23,2014,La chambre bleue,1400000,260441,1945420,805861,1.575615,Documentary,Paul Costes,"director,cinematographer,editor"
603,41,2011,Circumstance,900000,454121,958978,513099,1.57011,Drama,Maryam Keshavarz,"producer,director,writer"
604,55,2011,Rubber,500000,100370,680914,281284,1.562568,Comedy,Quentin Dupieux,"director,writer,cinematographer"
604,55,2011,Rubber,500000,100370,680914,281284,1.562568,Fantasy,Quentin Dupieux,"director,writer,cinematographer"
604,55,2011,Rubber,500000,100370,680914,281284,1.562568,Horror,Quentin Dupieux,"director,writer,cinematographer"
606,56,2017,Demonic,3000000,0,4668109,1668109,1.5560363333333334,Horror,Will Canon,"writer,director,producer"
606,56,2017,Demonic,3000000,0,4668109,1668109,1.5560363333333334,Thriller,Will Canon,"writer,director,producer"
607,56,2017,Demonic,3000000,0,4668109,1668109,1.5560363333333334,Horror,Pia Borg,"director,writer,producer"
607,56,2017,Demonic,3000000,0,4668109,1668109,1.5560363333333334,Thriller,Pia Borg,"director,writer,producer"
608,81,2005,November,250000,191862,191862,133724,1.534896,Documentary,Rainer Sarnet,"director,writer"
608,81,2005,November,250000,191862,191862,133724,1.534896,History,Rainer Sarnet,"director,writer"
609,81,2005,November,250000,191862,191862,133724,1.534896,Documentary,Luciangela Gatto,"director,writer"
609,81,2005,November,250000,191862,191862,133724,1.534896,History,Luciangela Gatto,"director,writer"
614,45,2013,Drinking Buddies,500000,343706,407100,250806,1.501612,Comedy,Joe Swanberg,"writer,actor,producer"
614,45,2013,Drinking Buddies,500000,343706,407100,250806,1.501612,Drama,Joe Swanberg,"writer,actor,producer"
614,45,2013,Drinking Buddies,500000,343706,407100,250806,1.501612,Romance,Joe Swanberg,"writer,actor,producer"
618,78,2012,The Innkeepers,750000,78396,1011535,339931,1.4532413333333334,Drama,Ti West,"director,writer,actor"
618,78,2012,The Innkeepers,750000,78396,1011535,339931,1.4532413333333334,Horror,Ti West,"director,writer,actor"
618,78,2012,The Innkeepers,750000,78396,1011535,339931,1.4532413333333334,Mystery,Ti West,"director,writer,actor"
620,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Horror,Vince Rotonda,"producer,miscellaneous,production_manager"
620,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Thriller,Vince Rotonda,"producer,miscellaneous,production_manager"
621,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Horror,Kelly Weaver,"actor,camera_department,director"
621,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Thriller,Kelly Weaver,"actor,camera_department,director"
622,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Horror,Alix Jackson,"actor,director,writer"
622,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Thriller,Alix Jackson,"actor,director,writer"
623,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Horror,James Omokwe,"director,actor,producer"
623,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Thriller,James Omokwe,"director,actor,producer"
624,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Horror,Nick Murphy,"director,producer,actor"
624,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Thriller,Nick Murphy,"director,producer,actor"
625,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Horror,Kostas Metaxas,"director,writer,producer"
625,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Thriller,Kostas Metaxas,"director,writer,producer"
626,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Horror,Ethan Okwara,director
626,4,2012,The Awakening,4900000,95933,6924321,2120254,1.4327048979591837,Thriller,Ethan Okwara,director
627,82,1999,Sugar Town,250000,178095,178095,106190,1.42476,Drama,Andrew Herwitz,"producer,director,writer"
627,82,1999,Sugar Town,250000,178095,178095,106190,1.42476,Horror,Andrew Herwitz,"producer,director,writer"
627,82,1999,Sugar Town,250000,178095,178095,106190,1.42476,Sci-Fi,Andrew Herwitz,"producer,director,writer"
628,40,2011,Meek's Cutoff,2000000,977772,1869928,847700,1.42385,Drama,Kelly Reichardt,"director,writer,editor"
628,40,2011,Meek's Cutoff,2000000,977772,1869928,847700,1.42385,Western,Kelly Reichardt,"director,writer,editor"
629,9,2011,Take Shelter,4750000,1728953,4972016,1950969,1.4107303157894737,Drama,Jeff Nichols,"writer,director,producer"
629,9,2011,Take Shelter,4750000,1728953,4972016,1950969,1.4107303157894737,Horror,Jeff Nichols,"writer,director,producer"
629,9,2011,Take Shelter,4750000,1728953,4972016,1950969,1.4107303157894737,Thriller,Jeff Nichols,"writer,director,producer"
633,48,2008,Teeth,2000000,347578,2350641,698219,1.3491095,Documentary,Aaron Schnobrich,"director,producer"
633,48,2008,Teeth,2000000,347578,2350641,698219,1.3491095,History,Aaron Schnobrich,"director,producer"
634,48,2008,Teeth,2000000,347578,2350641,698219,1.3491095,Documentary,Koert Davidse,"producer,director,writer"
634,48,2008,Teeth,2000000,347578,2350641,698219,1.3491095,History,Koert Davidse,"producer,director,writer"
635,48,2008,Teeth,2000000,347578,2350641,698219,1.3491095,Documentary,Ine Poppe,"writer,director"
635,48,2008,Teeth,2000000,347578,2350641,698219,1.3491095,History,Ine Poppe,"writer,director"
636,48,2008,Teeth,2000000,347578,2350641,698219,1.3491095,Documentary,Rares H. Stoica,"cinematographer,director,camera_department"
636,48,2008,Teeth,2000000,347578,2350641,698219,1.3491095,History,Rares H. Stoica,"cinematographer,director,camera_department"
637,43,2006,Simon,1300000,4055,1738663,442718,1.3405523076923076,Thriller,Emmanuel Caussé,"director,writer"
638,43,2006,Simon,1300000,4055,1738663,442718,1.3405523076923076,Thriller,Eric Martin,"writer,director,actor"
639,43,2006,Simon,1300000,4055,1738663,442718,1.3405523076923076,Thriller,Warren Badenski,"camera_department,editor,writer"
640,43,2006,Simon,1300000,4055,1738663,442718,1.3405523076923076,Thriller,Xhoslin Rama,"writer,director,editor"
648,28,2014,Tusk,3000000,1821983,1887554,709537,1.2365123333333334,Comedy,Kevin Smith,"producer,writer,actor"
648,28,2014,Tusk,3000000,1821983,1887554,709537,1.2365123333333334,Drama,Kevin Smith,"producer,writer,actor"
648,28,2014,Tusk,3000000,1821983,1887554,709537,1.2365123333333334,Horror,Kevin Smith,"producer,writer,actor"
649,47,2002,Never Again,500000,307631,308793,116424,1.232848,Drama,Aino Suni,"assistant_director,director,writer"
650,47,2002,Never Again,500000,307631,308793,116424,1.232848,Drama,Jay Coster,"director,writer,producer"
652,25,2012,Holy Motors,4000000,641054,4230426,871480,1.21787,Drama,Leos Carax,"director,writer,actor"
652,25,2012,Holy Motors,4000000,641054,4230426,871480,1.21787,Fantasy,Leos Carax,"director,writer,actor"
655,70,2014,I Origins,1000000,336472,852399,188871,1.188871,Drama,Mike Cahill,"visual_effects,editor,director"
655,70,2014,I Origins,1000000,336472,852399,188871,1.188871,Romance,Mike Cahill,"visual_effects,editor,director"
655,70,2014,I Origins,1000000,336472,852399,188871,1.188871,Sci-Fi,Mike Cahill,"visual_effects,editor,director"
656,89,2014,Cheap Thrills,100000,59424,59424,18848,1.18848,Comedy,E.L. Katz,"producer,writer,director"
656,89,2014,Cheap Thrills,100000,59424,59424,18848,1.18848,Crime,E.L. Katz,"producer,writer,director"
656,89,2014,Cheap Thrills,100000,59424,59424,18848,1.18848,Drama,E.L. Katz,"producer,writer,director"
661,38,1999,Get Real,2000000,1152411,1152411,304822,1.152411,Drama,Darby Christensen,"writer,director,casting_director"
663,85,2016,31,1500000,779820,922727,202547,1.1350313333333333,Horror,Rob Zombie,"soundtrack,director,actor"
663,85,2016,31,1500000,779820,922727,202547,1.1350313333333333,Thriller,Rob Zombie,"soundtrack,director,actor"
668,64,2014,23 Blast,1000000,549185,549185,98370,1.09837,Drama,Dylan Baker,"actor,director,producer"
668,64,2014,23 Blast,1000000,549185,549185,98370,1.09837,Family,Dylan Baker,"actor,director,producer"
668,64,2014,23 Blast,1000000,549185,549185,98370,1.09837,Sport,Dylan Baker,"actor,director,producer"
669,8,2013,Only God Forgives,4800000,775849,4494560,470409,1.098001875,Crime,Nicolas Winding Refn,"writer,director,producer"
669,8,2013,Only God Forgives,4800000,775849,4494560,470409,1.098001875,Drama,Nicolas Winding Refn,"writer,director,producer"
671,79,2001,Bully,2100000,881824,1381824,163648,1.077927619047619,Documentary,Lee Hirsch,"director,producer,cinematographer"
